medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
DA7420809B52BACAE855915711BC7F2F,9ACD15FEF2FE969219E74A5B63A135E0,CMT,1,N,2013-01-07 22:45:02,2013-01-07 22:51:57,2,415,1.70,-73.969177,40.785633,-73.96682,40.766636
9FE2DBF4F6BA1372AF3E48861561E548,524DD27657BF6E4C69BD9CD44EF04D44,CMT,1,N,2013-01-07 14:46:12,2013-01-07 15:03:00,1,1007,2.80,-73.961411,40.777336,-73.990761,40.751003
B0C2F0D1917DB28D72DB6A0EC42C1FF6,882F74DA790719E7E63FD134FAE1E7C7,CMT,1,N,2013-01-05 18:52:54,2013-01-05 18:55:44,2,170,.30,-73.988731,40.749138,-73.99054,40.751266
4D5A4FB75167CB804D91908710C78A36,49E979EF7171FADF8FB0DA792D290198,CMT,1,N,2013-01-10 14:37:41,2013-01-10 15:04:46,2,1624,1.90,-73.976357,40.763935,-73.988228,40.7458
E9BD4BA555B60370D4B3BD4A242DDA49,773E8CF5D67F0E60469EEAB91C7FBFC8,CMT,1,N,2013-01-08 15:00:29,2013-01-08 15:03:39,3,190,.40,-73.975372,40.791176,-73.970963,40.794186
FFEC9171E009541071F4CAB49DF113C9,D0D926E845B8E6665D91E4F3EB27BE32,CMT,1,N,2013-01-07 21:48:31,2013-01-07 21:56:27,1,475,1.10,-73.965012,40.760506,-73.978996,40.764454
E7D97BF2F9DBB34448CCD391EAF15CEF,FDA91544715207DC04156B013637930E,CMT,1,N,2013-01-05 22:57:52,2013-01-05 23:06:30,1,518,1.00,-73.987831,40.732597,-73.998314,40.728901
53718A9FF598B586DFEB9B5C7E59C906,DC5E14A80A50D77E7AFAC9D84DA0EE04,CMT,1,N,2013-01-07 08:47:02,2013-01-07 08:53:11,1,369,.90,-73.974564,40.736458,-73.973846,40.748035
53718A9FF598B586DFEB9B5C7E59C906,DC5E14A80A50D77E7AFAC9D84DA0EE04,CMT,1,N,2013-01-07 09:16:52,2013-01-07 09:29:57,1,784,1.20,-73.991066,40.749859,-73.97821,40.752575
3461F0C844CCE0E649855083A5200F10,B7FC055EA738679A8DC08D040C50067F,CMT,1,N,2013-01-10 07:36:08,2013-01-10 07:50:47,1,878,2.00,-73.965637,40.80579,-73.957504,40.785686
FFEC9171E009541071F4CAB49DF113C9,D0D926E845B8E6665D91E4F3EB27BE32,CMT,1,N,2013-01-07 16:03:03,2013-01-07 16:06:48,1,225,1.30,-73.961639,40.768383,-73.955208,40.78352
FC25ACBF065AFF0F702B4DC98BB084F5,548077C08728526CF2328F0C4237D000,CMT,1,N,2013-01-08 12:15:26,2013-01-08 12:24:12,4,525,1.30,-73.989273,40.741959,-73.996605,40.727123
FC25ACBF065AFF0F702B4DC98BB084F5,548077C08728526CF2328F0C4237D000,CMT,1,N,2013-01-08 10:37:45,2013-01-08 10:45:12,1,447,1.30,-73.975014,40.751984,-73.982086,40.736656
